Date,Code,Name,ForeignNet,TrustNet,DealerNet,Total
2026-07-22,1101,台泥,-2953783,-26000,-497258,-3477041
2026-07-22,1102,亞泥,1566337,191207,-652255,1105289
2026-07-22,1103,嘉泥,-100000,0,-33000,-133000
2026-07-22,1104,環泥,-458000,0,-111116,-569116
2026-07-22,1108,幸福,-129277,0,-5000,-134277
2026-07-22,1109,信大,-33000,0,-11028,-44028
2026-07-22,1110,東泥,-1000,0,-8000,-9000
2026-07-22,1201,味全,-93312,0,-26000,-119312
2026-07-22,1203,味王,0,0,-4000,-4000
2026-07-22,1210,大成,-457382,0,264983,-192399
2026-07-22,1215,卜蜂,-146000,0,-14951,-160951
2026-07-22,1216,統一,-13799365,4687376,-332231,-9444220
2026-07-22,1217,愛之味,7000,0,-39000,-32000
2026-07-22,1218,泰山,-142000,0,-90000,-232000
2026-07-22,1219,福壽,-145000,0,-50000,-195000
2026-07-22,1220,台榮,-15000,0,-1000,-16000
2026-07-22,1225,福懋油,-27001,0,-8000,-35001
2026-07-22,1227,佳格,-1001000,0,-33433,-1034433
2026-07-22,1229,聯華,-1296649,4000,-100348,-1392997
2026-07-22,1231,聯華食,-102000,0,-13777,-115777
2026-07-22,1232,大統益,-80000,0,-2632,-82632
2026-07-22,1233,天仁,-2000,0,-3000,-5000
2026-07-22,1234,黑松,-39000,0,-20590,-59590
2026-07-22,1235,興泰,-2000,0,-5000,-7000
2026-07-22,1236,宏亞,0,0,-5390,-5390
2026-07-22,1256,鮮活果汁-KY,-19053,0,-2000,-21053
2026-07-22,1301,台塑,10118099,330000,-410076,10038023
2026-07-22,1303,南亞,-1724049,3266388,-130899,1411440
2026-07-22,1304,台聚,1498633,0,423496,1922129
2026-07-22,1305,華夏,547000,0,-61244,485756
2026-07-22,1307,三芳,212000,-20029,-462,191509
2026-07-22,1308,亞聚,577004,0,-9952,567052
2026-07-22,1309,台達化,889000,0,-9284,879716
2026-07-22,1310,台苯,284000,0,919,284919
2026-07-22,1312,國喬,3835183,0,-152227,3682956
2026-07-22,1313,聯成,1174000,0,-38502,1135498
2026-07-22,1314,中石化,-6855450,0,-347304,-7202754
2026-07-22,1315,達新,0,0,-7000,-7000
2026-07-22,1316,上曜,542000,0,-3000,539000
2026-07-22,1319,東陽,-291197,-418213,-42299,-751709
2026-07-22,1321,大洋,-25000,0,-9007,-34007
2026-07-22,1323,永裕,-7000,0,-1000,-8000
2026-07-22,1324,地球,9000,0,-2000,7000
2026-07-22,1325,恆大,155950,0,-1000,154950
2026-07-22,1326,台化,21829435,13000,186205,22028640
2026-07-22,1337,再生-KY,-59000,0,-1000,-60000
2026-07-22,1338,廣華-KY,-17000,0,-5000,-22000
2026-07-22,1339,昭輝,-17190,0,-8099,-25289
2026-07-22,1340,勝悅-KY,27000,0,-3000,24000
2026-07-22,1341,富林-KY,0,0,0,0
2026-07-22,1342,八貫,-93747,19000,-19,-74766
2026-07-22,1402,遠東新,866663,-125523,931962,1673102
2026-07-22,1409,新纖,-1119809,28000,-57661,-1149470
2026-07-22,1410,南染,-17000,0,-6000,-23000
2026-07-22,1413,宏洲,5000,0,-3000,2000
2026-07-22,1414,東和,-67000,0,-5000,-72000
2026-07-22,1416,廣豐,-1000,0,-2000,-3000
2026-07-22,1417,嘉裕,-25000,0,-19000,-44000
2026-07-22,1418,東華,4000,0,-3000,1000
2026-07-22,1419,新紡,-60000,0,-7000,-67000
2026-07-22,1423,利華,-9000,0,-2000,-11000
2026-07-22,1432,大魯閣,9000,0,-2000,7000
2026-07-22,1434,福懋,-1869384,0,-30461,-1899845
2026-07-22,1435,中福,10000,0,0,10000
2026-07-22,1436,華友聯,-589000,0,-4000,-593000
2026-07-22,1437,勤益控,68000,0,-13000,55000
2026-07-22,1438,三地開發,12000,0,-2000,10000
2026-07-22,1439,雋揚,7000,0,-1000,6000
2026-07-22,1440,南紡,-145000,0,-43319,-188319
2026-07-22,1441,大東,14000,0,-2000,12000
2026-07-22,1442,名軒,-68000,0,-7000,-75000
2026-07-22,1443,立益物流,1000,0,-4000,-3000
2026-07-22,1444,力麗,-706436,421000,-150000,-435436
2026-07-22,1445,大宇,-10000,0,1000,-9000
2026-07-22,1446,宏和,-81000,0,-6000,-87000
2026-07-22,1447,力鵬,-338000,316000,67000,45000
2026-07-22,1449,佳和,-189999,0,-15000,-204999
2026-07-22,1451,年興,-27000,0,-5000,-32000
2026-07-22,1452,宏益,-4000,0,-6000,-10000
2026-07-22,1453,大將,10000,0,-2000,8000
2026-07-22,1454,台富,-1000,0,-2000,-3000
2026-07-22,1455,集盛,-140000,0,-17009,-157009
2026-07-22,1456,怡華,-3000,0,-6000,-9000
2026-07-22,1457,宜進,30000,0,-2000,28000
2026-07-22,1459,聯發,-15000,0,-5000,-20000
2026-07-22,1460,宏遠,-116440,0,-18000,-134440
2026-07-22,1463,強盛新,2000,0,-8000,-6000
2026-07-22,1464,得力,-155000,0,-4000,-159000
2026-07-22,1465,偉全,2000,0,-8000,-6000
2026-07-22,1466,聚隆,-277000,0,-6000,-283000
2026-07-22,1467,南緯,154595,0,-41903,112692
2026-07-22,1468,昶和,-5000,0,-11000,-16000
2026-07-22,1470,大統新創,-2000,0,-1000,-3000
2026-07-22,1471,首利,53810,0,-11000,42810
2026-07-22,1472,三洋實業,-1000,0,-1000,-2000
2026-07-22,1473,台南,-25000,0,-2000,-27000
2026-07-22,1474,弘裕,-22000,0,-1000,-23000
2026-07-22,1475,業旺,1000,0,-1000,0
2026-07-22,1476,儒鴻,195188,-315048,-11598,-131458
2026-07-22,1477,聚陽,-1165571,-7988,-9345,-1182904
2026-07-22,1503,士電,-27532,236000,-122978,85490
2026-07-22,1504,東元,2350637,-733336,-43240,1574061
2026-07-22,1506,正道,-50000,0,1000,-49000
2026-07-22,1512,瑞利,9000,0,-6000,3000
2026-07-22,1513,中興電,306038,-433422,27937,-99447
2026-07-22,1514,亞力,-176187,0,-12830,-189017
2026-07-22,1515,力山,-1191910,78000,5194,-1108716
2026-07-22,1516,川飛,24000,0,-3000,21000
2026-07-22,1517,利奇,58000,0,-4000,54000
2026-07-22,1519,華城,126280,0,-16481,109799
2026-07-22,1521,大億,2000,0,-2000,0
2026-07-22,1522,堤維西,-223000,0,-10000,-233000
2026-07-22,1524,耿鼎,-198849,0,-9000,-207849
2026-07-22,1525,江申,1000,0,-2000,-1000
2026-07-22,1526,日馳,-188000,0,-3000,-191000
2026-07-22,1527,鑽全,-10000,0,-6000,-16000
2026-07-22,1528,恩德,-190000,-43000,18,-232982
2026-07-22,1529,樂事綠能,-92000,0,-5000,-97000
2026-07-22,1530,亞崴,0,0,-4000,-4000
2026-07-22,1531,高林股,19000,0,-4000,15000
2026-07-22,1532,勤美,-39879,0,-12002,-51881
2026-07-22,1533,車王電,-14000,0,4000,-10000
2026-07-22,1535,中宇,-105000,0,-1000,-106000
2026-07-22,1536,和大,879666,0,89276,968942
2026-07-22,1537,廣隆,-9000,0,-4001,-13001
2026-07-22,1538,正峰,0,0,603,603
2026-07-22,1539,巨庭,4000,0,3000,7000
2026-07-22,1540,喬福,38000,0,-10000,28000
2026-07-22,1541,錩泰,6000,0,-4000,2000
2026-07-22,1558,伸興,-68000,0,-2000,-70000
2026-07-22,1560,中砂,265995,278000,4144,548139
2026-07-22,1563,巧新,5841,0,-38768,-32927
2026-07-22,1568,倉佑,-97000,0,-15936,-112936
2026-07-22,1582,信錦,-40000,-38000,-4845,-82845
2026-07-22,1583,程泰,-1000,0,-3000,-4000
2026-07-22,1587,吉茂,0,0,-2000,-2000
2026-07-22,1590,亞德客-KY,202954,98000,-716,300238
2026-07-22,1597,直得,-42910,-23000,-2610,-68520
2026-07-22,1598,岱宇,-32950,0,-7211,-40161
2026-07-22,1603,華電,-1000,0,-19000,-20000
2026-07-22,1604,聲寶,-249950,0,-34000,-283950
2026-07-22,1605,華新,2234111,-6683,-63913,2163515
2026-07-22,1608,華榮,278000,-21110,-384341,-127451
2026-07-22,1609,大亞,414520,-2000,-101098,311422
2026-07-22,1611,中電,-121889,0,-24659,-146548
2026-07-22,1612,宏泰,-196000,-18267,-45611,-259878
2026-07-22,1614,三洋電,-12000,0,-9000,-21000
2026-07-22,1615,大山,-51740,0,-3000,-54740
2026-07-22,1616,億泰,-78000,0,-789,-78789
2026-07-22,1617,榮星,97850,0,-6920,90930
2026-07-22,1618,合機,525000,0,148940,673940
2026-07-22,1623,大東電,-36000,0,-1970,-37970
2026-07-22,1626,艾美特-KY,-5000,0,1000,-4000
2026-07-22,1702,南僑,-88000,0,-17001,-105001
2026-07-22,1707,葡萄王,-138000,0,-12000,-150000
2026-07-22,1708,東鹼,-559232,116000,-19069,-462301
2026-07-22,1709,和益,119162,0,-180227,-61065
2026-07-22,1710,東聯,2706132,0,-17771,2688361
2026-07-22,1711,永光,-635378,0,55750,-579628
2026-07-22,1712,興農,-1397000,0,-49824,-1446824
2026-07-22,1713,國化,66000,0,131000,197000
2026-07-22,1714,和桐,-2825599,473000,9353,-2343246
2026-07-22,1717,長興,-2713225,619,-3237,-2715843
2026-07-22,1718,中纖,-22087651,530000,-1356288,-22913939
2026-07-22,1720,生達,-232000,0,-34069,-266069
2026-07-22,1721,三晃,-121189,0,-6000,-127189
2026-07-22,1722,台肥,-730420,0,-25572,-755992
2026-07-22,1723,中碳,473000,-1000,-15276,456724
2026-07-22,1725,元禎,9000,0,-3000,6000
2026-07-22,1726,永記,-36000,0,-5000,-41000
2026-07-22,1727,中華化,-178778,0,-8662,-187440
2026-07-22,1730,花仙子,3000,0,-2000,1000
2026-07-22,1731,美吾華,12000,0,-4000,8000
2026-07-22,1732,毛寶,293001,0,-2000,291001
2026-07-22,1733,五鼎,-31665,0,1000,-30665
2026-07-22,1734,杏輝,134877,0,-16000,118877
2026-07-22,1735,日勝化,3010,-13000,12459,2469
2026-07-22,1736,喬山,-420778,81000,-11025,-350803
2026-07-22,1737,臺鹽,-93147,0,-27134,-120281
2026-07-22,1752,南光,4000,0,-1000,3000
2026-07-22,1760,寶齡富錦,2000,0,-2000,0
2026-07-22,1762,中化生,-50750,0,2000,-48750
2026-07-22,1773,勝一,-112343,0,-6695,-119038
2026-07-22,1776,展宇,-8000,0,-12000,-20000
2026-07-22,1783,和康生,0,0,-6000,-6000
2026-07-22,1786,科妍,-69000,0,-4786,-73786
2026-07-22,1789,神隆,-75902,0,-39000,-114902
2026-07-22,1795,美時,608000,2000,-194,609806
2026-07-22,1802,台玻,-498011,0,-256509,-754520
2026-07-22,1805,寶徠,16000,0,-5000,11000
2026-07-22,1806,冠軍,98000,0,-29000,69000
2026-07-22,1808,潤隆,-48943,0,-9000,-57943
2026-07-22,1809,中釉,49149,0,-91,49058
2026-07-22,1810,和成,7155430,0,24526,7179956
2026-07-22,1817,凱撒衛,40000,0,-1000,39000
2026-07-22,1903,士紙,-46000,0,-5709,-51709
2026-07-22,1904,正隆,78013,0,4412,82425
2026-07-22,1905,華紙,-143616,-150000,-58478,-352094
2026-07-22,1906,寶隆,-6000,0,-2000,-8000
2026-07-22,1907,永豐餘,-244000,13000,-41000,-272000
2026-07-22,1909,榮成,215500,0,-41000,174500
2026-07-22,2002,中鋼,22821566,-14000,1281623,24089189
2026-07-22,2006,東和鋼鐵,916089,-4044,-24000,888045
2026-07-22,2007,燁興,-14000,0,-13000,-27000
2026-07-22,2008,高興昌,0,0,-2000,-2000
2026-07-22,2009,第一銅,497736,0,82580,580316
2026-07-22,2010,春源,73000,0,-32000,41000
2026-07-22,2012,春雨,-29750,0,-3000,-32750
2026-07-22,2013,中鋼構,-89000,0,-22084,-111084
2026-07-22,2014,中鴻,916000,0,-41000,875000
2026-07-22,2015,豐興,-101000,0,-21000,-122000
2026-07-22,2017,官田鋼,36900,0,-13000,23900
2026-07-22,2020,美亞,8000,0,-41000,-33000
2026-07-22,2022,聚亨,41502,0,-3000,38502
2026-07-22,2023,燁輝,271783,0,-158000,113783
2026-07-22,2024,志聯,-6000,0,-1000,-7000
2026-07-22,2025,千興,-40000,0,-23000,-63000
2026-07-22,2027,大成鋼,23949074,4112319,1021636,29083029
2026-07-22,2028,威致,-21000,0,-11000,-32000
2026-07-22,2029,盛餘,-53000,0,-15105,-68105
2026-07-22,2030,彰源,229791,0,-27000,202791
2026-07-22,2031,新光鋼,468584,-15610,-18263,434711
2026-07-22,2032,新鋼,-65854,0,-5000,-70854
2026-07-22,2033,佳大,-18000,0,-8000,-26000
2026-07-22,2034,允強,88000,0,-9438,78562
2026-07-22,2038,海光,87000,0,-17000,70000
2026-07-22,2049,上銀,593372,1913,101686,696971
2026-07-22,2059,川湖,-20639,37607,-17986,-1018
2026-07-22,2062,橋椿,60000,0,-6000,54000
2026-07-22,2069,運錩,47000,0,-10000,37000
2026-07-22,2072,世紀風電,-11799,0,-2054,-13853
2026-07-22,2101,南港,-79497,0,-14955,-94452
2026-07-22,2102,泰豐,-54940,0,-9000,-63940
2026-07-22,2103,台橡,-111295,0,-66195,-177490
2026-07-22,2104,國際中橡,704000,0,-29212,674788
2026-07-22,2105,正新,-1093194,-2523336,-177778,-3794308
2026-07-22,2106,建大,-326000,0,-24084,-350084
2026-07-22,2107,厚生,-105000,0,-47000,-152000
2026-07-22,2108,南帝,-41004,0,-10060,-51064
2026-07-22,2109,華豐,6000,0,-13000,-7000
2026-07-22,2114,鑫永銓,-21000,0,-10000,-31000
2026-07-22,2115,六暉-KY,19000,0,1000,20000
2026-07-22,2201,裕隆,-893150,0,-863,-894013
2026-07-22,2204,中華,-1265087,-5729,-18377,-1289193
2026-07-22,2206,三陽工業,989169,7000,-49000,947169
2026-07-22,2207,和泰車,-6289,-1563,-21132,-28984
2026-07-22,2208,台船,-2824067,0,-45000,-2869067
2026-07-22,2211,長榮鋼,-271000,-7459,-21765,-300224
2026-07-22,2227,裕日車,-11000,0,-4000,-15000
2026-07-22,2228,劍麟,39000,0,-2938,36062
2026-07-22,2231,為升,-163989,0,-43794,-207783
2026-07-22,2233,宇隆,-200532,45000,6272,-149260
2026-07-22,2236,百達-KY,-2530,0,-2267,-4797
2026-07-22,2239,英利-KY,-40000,0,-4000,-44000
2026-07-22,2241,艾姆勒,-81000,0,2784,-78216
2026-07-22,2243,宏旭-KY,-264000,11000,-3000,-256000
2026-07-22,2247,汎德永業,1000,0,-1071,-71
2026-07-22,2248,華勝-KY,93000,0,-3000,90000
2026-07-22,2250,IKKA-KY,-14998,0,0,-14998
2026-07-22,2254,巨鎧精密-創,1000,0,-1000,0
2026-07-22,2258,鴻華先進-創,-236098,0,-21027,-257125
2026-07-22,2301,光寶科,6721493,22081,350288,7093862
2026-07-22,2302,麗正,546170,46000,-7624,584546
2026-07-22,2303,聯電,-6005980,-1113428,5281058,-1838350
2026-07-22,2305,全友,-92584,39000,11861,-41723
2026-07-22,2308,台達電,-9329,763093,-77272,676492
2026-07-22,2312,金寶,-644909,0,-470364,-1115273
2026-07-22,2313,華通,-5133586,26000,-467547,-5575133
2026-07-22,2314,台揚,-15000,0,0,-15000
2026-07-22,2316,楠梓電,-1634720,79000,40848,-1514872
2026-07-22,2317,鴻海,17679862,660951,-178147,18162666
2026-07-22,2321,東訊,0,0,-147,-147
2026-07-22,2323,中環,1611402,0,-43000,1568402
2026-07-22,2324,仁寶,7039598,22616,98955,7161169
2026-07-22,2327,國巨*,-3628994,181811,-455253,-3902436
2026-07-22,2328,廣宇,312021,0,-85060,226961
2026-07-22,2329,華泰,175128,0,110148,285276
2026-07-22,2330,台積電,-3538579,1562085,-1059097,-3035591
2026-07-22,2331,精英,325421,0,-26000,299421
2026-07-22,2332,友訊,2948913,0,1013659,3962572
2026-07-22,2337,旺宏,10370270,-6000,49026,10413296
2026-07-22,2338,光罩,-2268,0,-17926,-20194
2026-07-22,2340,台亞,597039,0,98788,695827
2026-07-22,2342,茂矽,-290201,0,14597,-275604
2026-07-22,2344,華邦電,-7758281,93731,1028802,-6635748
2026-07-22,2345,智邦,-194448,230637,-31053,5136
2026-07-22,2347,聯強,5048288,-1913344,-147263,2987681
2026-07-22,2348,海悅,44930,0,3,44933
2026-07-22,2349,錸德,48346,0,-28000,20346
2026-07-22,2351,順德,-234839,-2000,-412,-237251
2026-07-22,2352,佳世達,-2506089,-5000,-1274097,-3785186
2026-07-22,2353,宏碁,8454277,-3773090,-170967,4510220
2026-07-22,2354,鴻準,1206400,0,-6748,1199652
2026-07-22,2355,敬鵬,-341870,-116000,25527,-432343
2026-07-22,2356,英業達,12149193,-8270863,-207556,3670774
2026-07-22,2357,華碩,2663816,-614145,-47052,2002619
2026-07-22,2359,所羅門,141483,0,11075,152558
2026-07-22,2360,致茂,-579052,686725,-14588,93085
2026-07-22,2362,藍天,183954,0,-31000,152954
2026-07-22,2363,矽統,517830,0,17671,535501
2026-07-22,2364,倫飛,114000,0,0,114000
2026-07-22,2365,昆盈,811610,0,13000,824610
2026-07-22,2367,燿華,630183,0,151918,782101
2026-07-22,2368,金像電,547677,-2084140,13102,-1523361
2026-07-22,2369,菱生,1761511,0,101802,1863313
2026-07-22,2371,大同,987318,12000,-97769,901549
2026-07-22,2373,震旦行,-37057,0,-4000,-41057
2026-07-22,2374,佳能,53513,0,-36882,16631
2026-07-22,2375,凱美,-1053434,53000,24154,-976280
2026-07-22,2376,技嘉,-784802,775495,222368,213061
2026-07-22,2377,微星,10420802,691375,1853445,12965622
2026-07-22,2379,瑞昱,-814125,203425,-66835,-677535
2026-07-22,2382,廣達,-2085390,466798,-756187,-2374779
2026-07-22,2383,台光電,-256447,230891,-38076,-63632
2026-07-22,2385,群光,2334346,-1041997,-364032,928317
2026-07-22,2387,精元,55000,-5455,-31024,18521
2026-07-22,2388,威盛,3040193,-164000,65756,2941949
2026-07-22,2390,云辰,-142579,0,-8000,-150579
2026-07-22,2392,正崴,369642,0,-17290,352352
2026-07-22,2393,億光,-833993,-148304,59700,-922597
2026-07-22,2395,研華,-1405730,528662,125436,-751632
2026-07-22,2397,友通,418020,0,-4000,414020
2026-07-22,2399,映泰,-171969,-53000,-7958,-232927
2026-07-22,2401,凌陽,2756029,0,137645,2893674
2026-07-22,2402,毅嘉,-102490,0,-11887,-114377
2026-07-22,2404,漢唐,323436,-217000,-19215,87221
2026-07-22,2405,輔信,717749,0,-7000,710749
2026-07-22,2406,國碩,1243000,0,38582,1281582
2026-07-22,2408,南亞科,7791513,2313163,388822,10493498
2026-07-22,2409,友達,-8152551,-14550,440656,-7726445
2026-07-22,2412,中華電,2781745,-170728,217468,2828485
2026-07-22,2413,環科,54618,0,-126,54492
2026-07-22,2414,精技,-642100,51000,-6000,-597100
2026-07-22,2415,錩新,-19040,44000,-10409,14551
2026-07-22,2417,圓剛,297000,0,-3000,294000
2026-07-22,2419,仲琦,177000,-40000,-2182,134818
2026-07-22,2420,新巨,-2000,0,-7057,-9057
2026-07-22,2421,建準,14463,-2000,18974,31437
2026-07-22,2423,固緯,128879,0,-6000,122879
2026-07-22,2424,隴華,-1000,0,0,-1000
2026-07-22,2425,承啟,1737354,39000,-12887,1763467
2026-07-22,2426,鼎元,-261878,0,-2714,-264592
2026-07-22,2427,三商電,-12100,0,-7000,-19100
2026-07-22,2428,興勤,-219195,199000,-14735,-34930
2026-07-22,2429,銘旺科,-167000,0,3503,-163497
2026-07-22,2430,燦坤,-20000,0,-2000,-22000
2026-07-22,2431,聯昌,60000,0,-8600,51400
2026-07-22,2432,倚天酷碁-創,2000,0,-4000,-2000
2026-07-22,2433,互盛電,-5000,0,-5000,-10000
2026-07-22,2434,統懋,25000,0,3922,28922
2026-07-22,2436,偉詮電,361280,0,-28121,333159
2026-07-22,2438,翔耀,22000,0,-1000,21000
2026-07-22,2439,美律,-111000,-5502,-17289,-133791
2026-07-22,2440,太空梭,-14000,0,0,-14000
2026-07-22,2441,超豐,-479005,303000,-18993,-194998
2026-07-22,2442,新美齊,247000,0,-4000,243000
2026-07-22,2444,兆勁,-2999,0,-7000,-9999
2026-07-22,2449,京元電子,2322802,900820,490732,3714354
2026-07-22,2450,神腦,-91000,0,-13000,-104000
2026-07-22,2451,創見,273811,-432000,-5292,-163481
2026-07-22,2453,凌群,69080,0,-30000,39080
2026-07-22,2454,聯發科,554762,160750,-293968,421544
2026-07-22,2455,全新,72356,198000,70965,341321
2026-07-22,2457,飛宏,202000,0,-9363,192637
2026-07-22,2458,義隆,774486,1804,2211,778501
2026-07-22,2459,敦吉,-30000,0,-7000,-37000
2026-07-22,2460,建通,-19000,0,-5000,-24000
2026-07-22,2461,光群雷,-108000,0,16000,-92000
2026-07-22,2462,良得電,-46000,0,-423,-46423
2026-07-22,2464,盟立,182444,0,70705,253149
2026-07-22,2465,麗臺,791577,0,1322,792899
2026-07-22,2466,冠西電,19000,78000,-8172,88828
2026-07-22,2467,志聖,147341,-32926,-9398,105017
2026-07-22,2468,華經,47000,0,-2000,45000
2026-07-22,2471,資通,-272631,0,-146000,-418631
2026-07-22,2472,立隆電,-919114,-77000,21369,-974745
2026-07-22,2474,可成,-1699514,1037970,-61204,-722748
2026-07-22,2476,鉅祥,121699,0,117708,239407
2026-07-22,2477,美隆電,24000,0,-3000,21000
2026-07-22,2478,大毅,-218010,0,52698,-165312
2026-07-22,2480,敦陽科,90550,-6075,-3827,80648
2026-07-22,2481,強茂,-4182852,-1765000,-13177,-5961029
2026-07-22,2482,連宇,28009,0,-7110,20899
2026-07-22,2483,百容,7000,0,35688,42688
2026-07-22,2484,希華,-1167694,78000,-438,-1090132
2026-07-22,2485,兆赫,309415,-89000,-96191,124224
2026-07-22,2486,一詮,897754,0,191388,1089142
2026-07-22,2488,漢平,-44779,0,-11000,-55779
2026-07-22,2489,瑞軒,-233762,3000,90182,-140580
2026-07-22,2491,吉祥全,-159050,28000,-3000,-134050
2026-07-22,2492,華新科,-779610,-232000,378795,-632815
2026-07-22,2493,揚博,-126000,0,-4311,-130311
2026-07-22,2495,普安,-51526,0,954,-50572
2026-07-22,2496,卓越,0,0,0,0
2026-07-22,2497,怡利電,-75715,0,6936,-68779
2026-07-22,2498,宏達電,531025,0,6341,537366
2026-07-22,2501,國建,-163000,20000,-44197,-187197
2026-07-22,2504,國產,-2075000,-3000,-100278,-2178278
2026-07-22,2505,國揚,-17000,0,-22000,-39000
2026-07-22,2506,太設,-48000,0,-11000,-59000
2026-07-22,2509,全坤建,-3000,0,-2000,-5000
2026-07-22,2511,太子,-650000,0,-72000,-722000
2026-07-22,2514,龍邦,-39000,0,-20566,-59566
2026-07-22,2515,中工,696000,0,-5707,690293
2026-07-22,2516,新建,-10000,0,-16000,-26000
2026-07-22,2520,冠德,439844,0,161376,601220
2026-07-22,2524,京城,7000,0,-4000,3000
2026-07-22,2527,宏璟,179146,0,-14097,165049
2026-07-22,2528,皇普,415550,0,-54000,361550
2026-07-22,2530,華建,127000,0,-15000,112000
2026-07-22,2534,宏盛,-43000,0,-20766,-63766
2026-07-22,2535,達欣工,-14068,0,-27529,-41597
2026-07-22,2536,宏普,-911000,0,16000,-895000
2026-07-22,2537,聯上發,208503,0,-3000,205503
2026-07-22,2538,基泰,-47327,0,-13000,-60327
2026-07-22,2539,櫻花建,24573,0,17220,41793
2026-07-22,2540,愛山林,91705,0,-39000,52705
2026-07-22,2542,興富發,-6758219,6520000,382579,144360
2026-07-22,2543,皇昌,-499000,0,-20271,-519271
2026-07-22,2545,皇翔,-151000,0,-98968,-249968
2026-07-22,2546,根基,-98940,0,2000,-96940
2026-07-22,2547,日勝生,-420000,0,-127380,-547380
2026-07-22,2548,華固,-579590,0,-97888,-677478
2026-07-22,2597,潤弘,-150796,-2000,-18569,-171365
2026-07-22,2601,益航,-134600,0,-14006,-148606
2026-07-22,2603,長榮,6917525,-1035334,-157414,5724777
2026-07-22,2605,新興,849579,0,229863,1079442
2026-07-22,2606,裕民,2670860,-689000,-56022,1925838
2026-07-22,2607,榮運,-24000,0,-15000,-39000
2026-07-22,2608,嘉里大榮,9900,0,-26000,-16100
2026-07-22,2609,陽明,3340616,-94526,-327347,2918743
2026-07-22,2610,華航,-2089209,1854228,-108560,-343541
2026-07-22,2611,志信,94000,0,5000,99000
2026-07-22,2612,中航,154000,0,-8000,146000
2026-07-22,2613,中櫃,35000,0,-1000,34000
2026-07-22,2614,東森,0,0,-5000,-5000
2026-07-22,2615,萬海,4683852,12448,-296409,4399891
2026-07-22,2616,山隆,50000,0,-2000,48000
2026-07-22,2617,台航,484816,0,-10010,474806
2026-07-22,2618,長榮航,11958089,-3150027,-287389,8520673
2026-07-22,2630,亞航,-2409000,0,-112179,-2521179
2026-07-22,2633,台灣高鐵,-2436447,20000,-154000,-2570447
2026-07-22,2634,漢翔,-27578912,668000,-3716038,-30626950
2026-07-22,2636,台驊控股,177744,0,-6000,171744
2026-07-22,2637,慧洋-KY,1000655,477866,-26985,1451536
2026-07-22,2642,宅配通,13000,0,-6000,7000
2026-07-22,2645,長榮航太,1408539,-714000,-375779,318760
2026-07-22,2646,星宇航空,-3331969,23000,-241977,-3550946
2026-07-22,2701,萬企,-4000,0,-11000,-15000
2026-07-22,2702,華園,-5000,0,-3000,-8000
2026-07-22,2704,國賓,-25000,0,-13000,-38000
2026-07-22,2705,六福,-18000,0,-6000,-24000
2026-07-22,2706,第一店,-26000,0,-23924,-49924
2026-07-22,2707,晶華,-39000,0,-8000,-47000
2026-07-22,2712,遠雄來,-1000,0,-2000,-3000
2026-07-22,2722,夏都,0,0,-6000,-6000
2026-07-22,2723,美食-KY,-130110,0,-5973,-136083
2026-07-22,2727,王品,-57000,0,-14755,-71755
2026-07-22,2731,雄獅,-60000,0,-12014,-72014
2026-07-22,2739,寒舍,-15000,0,-3000,-18000
2026-07-22,2748,雲品,-24000,0,-10000,-34000
2026-07-22,2753,八方雲集,-126985,-3528,-7425,-137938
2026-07-22,2762,世界健身-KY,-20000,0,-3000,-23000
2026-07-22,2801,彰銀,-4741484,9570182,-432000,4396698
2026-07-22,2812,台中銀,2606093,-21527,-203198,2381368
2026-07-22,2816,旺旺保,-89000,0,-7000,-96000
2026-07-22,2820,華票,140662,0,-81000,59662
2026-07-22,2832,台產,-59000,0,-34000,-93000
2026-07-22,2834,臺企銀,2692930,-31465,-327000,2334465
2026-07-22,2836,高雄銀,-46873,0,-20000,-66873
2026-07-22,2838,聯邦銀,-1313736,-12000,-149540,-1475276
2026-07-22,2845,遠東銀,-127155,-12000,-155000,-294155
2026-07-22,2849,安泰銀,-147000,0,-24000,-171000
2026-07-22,2850,新產,-12000,-3000,-13095,-28095
2026-07-22,2851,中再保,287146,0,-45287,241859
2026-07-22,2852,第一保,-32000,0,-17000,-49000
2026-07-22,2855,統一證,-800409,-6772,0,-807181
2026-07-22,2867,三商壽,-620579,0,-1012520,-1633099
2026-07-22,2880,華南金,-10805003,10202259,-409190,-1011934
2026-07-22,2881,富邦金,5784354,124645,-466711,5442288
2026-07-22,2882,國泰金,9647963,-2762337,-295246,6590380
2026-07-22,2883,凱基金,37650846,1284154,-1208364,37726636
2026-07-22,2884,玉山金,2035877,-233294,-292570,1510013
2026-07-22,2885,元大金,25000620,-787108,-1474295,22739217
2026-07-22,2886,兆豐金,-6247595,5901621,29786,-316188
2026-07-22,2887,台新新光金,-5983582,5484626,-2260538,-2759494
2026-07-22,2889,國票金,-2409308,-8000,-124000,-2541308
2026-07-22,2890,永豐金,-3056183,6462233,-723161,2682889
2026-07-22,2891,中信金,1864163,-2158403,-1349667,-1643907
2026-07-22,2892,第一金,-7109913,8602944,-194323,1298708
2026-07-22,2897,王道銀行,-249889,32000,-111000,-328889
2026-07-22,2901,欣欣,4000,0,-1000,3000
2026-07-22,2903,遠百,-759000,0,-439261,-1198261
2026-07-22,2904,匯僑,-1000,0,-2000,-3000
2026-07-22,2905,三商,230879,0,-58000,172879
