Date,TAIEX_Close
2026-07-17,42671.27
2026-07-20,42449.7
2026-07-21,44232.87
2026-07-22,44825.78
2026-07-23,44850.81
2026-07-24,43654.84
2026-07-27,43634.19
2026-07-28,41603.36
2026-07-29,40039.18
2026-07-30,39933.3
2026-07-31,43119.75
2026-08-03,43386.41
2026-08-04,43360.66
2026-08-05,44611.6
2026-08-06,44396.7
2026-08-07,44225.91
2026-08-10,44928.76
2026-08-11,45120.72
2026-08-12,45518.07
2026-08-13,46021.48
2026-08-14,45811.01
2026-08-17,45857.27
2026-08-18,45308.68
2026-08-19,44719.35
2026-08-21,45224.29
2026-08-24,44762.32
2026-08-25,45169.46
2026-08-26,45832.62
2026-08-28,46331.45
2026-08-31,46128.47
